N_Samples	Iteration	N_Loops
9	36	13893
10	36	14302
11	36	14981
12	36	15409
13	36	15488
14	36	16028
15	36	16103
16	36	16330
17	36	16474
1	37	2465
2	37	5270
3	37	7233
4	37	7382
5	37	8263
6	37	9756
7	37	10679
8	37	11153
9	37	12937
10	37	13446
11	37	13527
12	37	14361
13	37	14753
14	37	15393
15	37	15547
16	37	16073
17	37	16474
1	38	3535
2	38	5313
3	38	5939
4	38	6259
5	38	8216
6	38	9307
7	38	10260
8	38	12250
9	38	12986
10	38	13752
11	38	13828
12	38	14256
13	38	14333
14	38	14779
15	38	15547
16	38	16073
17	38	16474
1	39	2465
2	39	6258
3	39	7331
4	39	8320
5	39	10723
6	39	11813
7	39	12489
8	39	12574
9	39	13018
10	39	13456
11	39	13817
12	39	14392
13	39	14548
14	39	15160
15	39	15234
16	39	15880
17	39	16474
1	40	3579
2	40	6761
3	40	7506
4	40	8816
5	40	9488
6	40	11602
7	40	12309
8	40	12397
9	40	12948
10	40	13553
11	40	14204
12	40	14370
13	40	14449
14	40	14698
15	40	15134
16	40	15757
17	40	16474
1	41	7040
2	41	7933
3	41	8956
4	41	9643
5	41	9759
6	41	10666
7	41	11003
8	41	11191
9	41	12311
10	41	12393
11	41	13047
12	41	13505
13	41	14210
14	41	14777
15	41	15104
16	41	15757
17	41	16474
1	42	3977
2	42	5970
3	42	7939
4	42	9057
5	42	10076
6	42	10710
7	42	11554
8	42	11658
9	42	11845
10	42	12326
11	42	12598
12	42	14235
13	42	14586
14	42	15260
15	42	16002
16	42	16073
17	42	16474
1	43	4601
2	43	8321
3	43	9525
4	43	10799
5	43	11387
6	43	11889
7	43	12580
8	43	12852
9	43	13380
10	43	13548
11	43	13628
12	43	14357
13	43	15158
14	43	15735
15	43	15810
16	43	16113
17	43	16474
1	44	3535
2	44	5856
3	44	7567
4	44	7705
5	44	8535
6	44	9179
7	44	10475
8	44	11246
9	44	12058
10	44	12579
11	44	12663
12	44	13574
13	44	13833
14	44	15340
15	44	15763
16	44	15910
17	44	16474
1	45	1426
2	45	7203
3	45	8080
4	45	8342
5	45	9146
6	45	9760
7	45	10500
8	45	11435
9	45	11750
10	45	12561
11	45	13190
12	45	13660
13	45	13740
14	45	14392
15	45	15198
16	45	15951
17	45	16474
1	46	4548
2	46	5856
3	46	6036
4	46	7573
5	46	8387
6	46	8612
7	46	9614
8	46	10561
9	46	10884
10	46	12020
11	46	12552
12	46	12999
13	46	14607
14	46	15013
15	46	15667
16	46	16403
17	46	16474
1	47	4416
2	47	5708
3	47	7821
4	47	8807
5	47	8926
6	47	9629
7	47	10240
8	47	12240
9	47	12913
10	47	13182
11	47	13901
12	47	14609
13	47	14686
14	47	15288
15	47	16026
16	47	16173
17	47	16474
1	48	3663
2	48	5932
3	48	7032
4	48	8769
5	48	8886
6	48	9024
7	48	9393
8	48	11558
9	48	12265
10	48	13088
11	48	13596
12	48	14433
13	48	14764
14	48	15389
15	48	15967
16	48	16113
17	48	16474
1	49	4601
2	49	7086
3	49	8005
4	49	9114
5	49	9238
6	49	10533
7	49	10724
8	49	11323
9	49	11634
10	49	12417
11	49	12498
12	49	12953
13	49	13390
14	49	13732
15	49	14407
16	49	15083
17	49	16474
1	50	4712
2	50	7284
3	50	8441
4	50	9291
5	50	9877
6	50	10222
7	50	10325
8	50	11262
9	50	11445
10	50	12259
11	50	13930
12	50	14363
13	50	14796
14	50	15589
15	50	16102
16	50	16403
17	50	16474
1	51	3535
2	51	6527
3	51	7918
4	51	8178
5	51	8911
6	51	9938
7	51	11982
8	51	12937
9	51	13612
10	51	14044
11	51	14125
12	51	14595
13	51	14835
14	51	15369
15	51	15783
16	51	16403
17	51	16474
1	52	1657
2	52	4175
3	52	5025
4	52	5271
5	52	5443
6	52	6514
7	52	7950
8	52	8859
9	52	9889
10	52	10511
11	52	11480
12	52	12532
13	52	13206
14	52	13917
15	52	14762
16	52	16173
17	52	16474
1	53	4712
2	53	5972
3	53	6299
4	53	7668
5	53	8400
6	53	9350
7	53	10038
8	53	10128
9	53	10451
10	53	12419
11	53	13207
12	53	14098
13	53	14673
14	53	15013
15	53	15782
16	53	16403
17	53	16474
1	54	3977
2	54	5970
3	54	7032
4	54	8331
5	54	8561
6	54	10032
7	54	10603
8	54	11533
9	54	11837
10	54	12249
11	54	13942
12	54	14410
13	54	15055
14	54	15803
15	54	15877
16	54	16403
17	54	16474
1	55	3977
2	55	4748
3	55	5939
4	55	6259
5	55	9373
6	55	10042
7	55	11075
8	55	11170
9	55	11807
10	55	12473
11	55	13132
12	55	14030
13	55	14838
14	55	14915
15	55	15539
16	55	16113
17	55	16474
1	56	2465
2	56	3178
3	56	7869
4	56	8726
5	56	10176
6	56	10980
7	56	11489
8	56	12019
9	56	12746
10	56	13295
11	56	14013
12	56	14710
13	56	15045
14	56	15803
15	56	16332
16	56	16403
17	56	16474
1	57	1657
2	57	7332
3	57	9149
4	57	10055
5	57	10175
6	57	10866
7	57	11654
8	57	12161
9	57	12820
10	57	13584
11	57	13945
12	57	14628
13	57	15398
14	57	15472
15	57	15704
16	57	16113
17	57	16474
1	58	3579
2	58	4524
3	58	4761
4	58	6668
5	58	7943
6	58	9256
7	58	10595
8	58	11098
9	58	11829
10	58	12331
11	58	12861
12	58	13028
13	58	13506
14	58	15033
15	58	15106
16	58	15739
17	58	16474
1	59	4416
2	59	4673
3	59	6730
4	59	7256
5	59	8517
6	59	9937
7	59	10424
8	59	11150
9	59	11716
10	59	12696
11	59	13158
12	59	13323
13	59	13747
14	59	15268
15	59	15808
16	59	15880
17	59	16474
1	60	5754
2	60	7284
3	60	8441
4	60	9291
5	60	10326
6	60	11079
7	60	12110
8	60	12597
9	60	13103
10	60	13268
11	60	13533
12	60	13887
13	60	15358
14	60	15434
15	60	15509
16	60	16113
17	60	16474
1	61	4712
2	61	5119
3	61	6673
4	61	7852
5	61	9407
6	61	9533
7	61	11655
8	61	12362
9	61	12837
10	61	13297
11	61	14133
12	61	14211
13	61	14655
14	61	14992
15	61	15626
16	61	16249
17	61	16474
1	62	5604
2	62	5844
3	62	6996
4	62	8301
5	62	9014
6	62	9241
7	62	9760
8	62	10587
9	62	11691
10	62	12519
11	62	12810
12	62	14454
13	62	15071
14	62	15622
15	62	15694
16	62	16073
17	62	16474
1	63	3579
2	63	3946
3	63	6940
4	63	7847
5	63	8928
6	63	11118
7	63	11439
8	63	12219
9	63	13004
10	63	13081
11	63	13831
12	63	14196
13	63	14998
14	63	15438
15	63	15588
16	63	15972
17	63	16474
1	64	3663
2	64	6820
3	64	7904
4	64	8049
5	64	8787
6	64	9329
7	64	10140
8	64	10338
9	64	11288
10	64	12308
11	64	13019
12	64	13713
13	64	13971
14	64	14048
15	64	15509
16	64	16113
17	64	16474
1	65	4712
2	65	5459
3	65	7771
4	65	8038
5	65	9296
6	65	9405
7	65	10057
8	65	10844
9	65	11438
10	65	12456
11	65	13189
12	65	14759
13	65	15138
14	65	15213
15	65	15536
16	65	15951
17	65	16474
1	66	3579
2	66	6761
3	66	7972
4	66	8717
5	66	9737
6	66	10408
7	66	10505
8	66	11116
9	66	11224
10	66	11516
11	66	12375
12	66	12548
