N_Samples	Iteration	N_Loops	Model
1	1	4579	All
2	1	5670	All
3	1	7302	All
4	1	8682	All
5	1	8813	All
6	1	8943	All
7	1	9685	All
8	1	11786	All
9	1	12783	All
10	1	13220	All
11	1	13834	All
12	1	14664	All
13	1	14920	All
14	1	15350	All
15	1	15957	All
16	1	16102	All
17	1	16474	All
1	2	6993	All
2	2	7578	All
3	2	7748	All
4	2	8825	All
5	2	10196	All
6	2	11162	All
7	2	11669	All
8	2	12174	All
9	2	12896	All
10	2	13523	All
11	2	13601	All
12	2	13772	All
13	2	14137	All
14	2	14932	All
15	2	15466	All
16	2	15880	All
17	2	16474	All
1	3	3953	All
2	3	6134	All
3	3	8073	All
4	3	8348	All
5	3	9562	All
6	3	9916	All
7	3	10864	All
8	3	11380	All
9	3	11808	All
10	3	12357	All
11	3	13058	All
12	3	13933	All
13	3	14393	All
14	3	14931	All
15	3	15004	All
16	3	16403	All
17	3	16474	All
1	4	5722	All
2	4	5925	All
3	4	7595	All
4	4	8404	All
5	4	9139	All
6	4	9257	All
7	4	11400	All
8	4	11584	All
9	4	12340	All
10	4	13304	All
11	4	13908	All
12	4	14264	All
13	4	14715	All
14	4	15270	All
15	4	15886	All
16	4	16113	All
17	4	16474	All
1	5	5003	All
2	5	6731	All
3	5	7728	All
4	5	10195	All
5	5	10411	All
6	5	11554	All
7	5	12174	All
8	5	12466	All
9	5	12862	All
10	5	13478	All
11	5	13936	All
12	5	14014	All
13	5	14412	All
14	5	15221	All
15	5	15838	All
16	5	16403	All
17	5	16474	All
1	6	3645	All
2	6	5887	All
3	6	9031	All
4	6	9666	All
5	6	10548	All
6	6	10654	All
7	6	11229	All
8	6	11417	All
9	6	12304	All
10	6	12598	All
11	6	13523	All
12	6	14226	All
13	6	15040	All
14	6	15636	All
15	6	15708	All
16	6	16113	All
17	6	16474	All
1	7	4527	All
2	7	4790	All
3	7	6036	All
4	7	7573	All
5	7	8387	All
6	7	8516	All
7	7	9987	All
8	7	10589	All
9	7	11108	All
10	7	11843	All
11	7	12663	All
12	7	12827	All
13	7	13097	All
14	7	13804	All
15	7	14269	All
16	7	15083	All
17	7	16474	All
1	8	3514	All
2	8	6631	All
3	8	6795	All
4	8	6974	All
5	8	7496	All
6	8	8689	All
7	8	9760	All
8	8	10396	All
9	8	11358	All
10	8	13148	All
11	8	13777	All
12	8	14607	All
13	8	15169	All
14	8	15320	All
15	8	15694	All
16	8	16102	All
17	8	16474	All
1	9	4733	All
2	9	8504	All
3	9	9726	All
4	9	9843	All
5	9	10695	All
6	9	11265	All
7	9	12296	All
8	9	12583	All
9	9	12673	All
10	9	13573	All
11	9	14057	All
12	9	14463	All
13	9	14899	All
14	9	15214	All
15	9	15365	All
16	9	15910	All
17	9	16474	All
1	10	1286	All
2	10	3912	All
3	10	6371	All
4	10	6653	All
5	10	7651	All
6	10	10255	All
7	10	10599	All
8	10	11183	All
9	10	11983	All
10	10	12070	All
11	10	12520	All
12	10	13170	All
13	10	13707	All
14	10	14589	All
15	10	15134	All
16	10	15757	All
17	10	16474	All
1	11	4395	All
2	11	4673	All
3	11	6312	All
4	11	7047	All
5	11	8786	All
6	11	11106	All
7	11	11664	All
8	11	12640	All
9	11	12936	All
10	11	13636	All
11	11	13719	All
12	11	14142	All
13	11	14823	All
14	11	15421	All
15	11	15570	All
16	11	16102	All
17	11	16474	All
1	12	4733	All
2	12	5173	All
3	12	7020	All
4	12	8231	All
5	12	8936	All
6	12	11212	All
7	12	12093	All
8	12	12597	All
9	12	13086	All
10	12	13472	All
11	12	13559	All
12	12	13825	All
13	12	14428	All
14	12	15231	All
15	12	15665	All
16	12	16403	All
17	12	16474	All
1	13	1651	All
2	13	3178	All
3	13	4937	All
4	13	5145	All
5	13	6863	All
6	13	7985	All
7	13	9534	All
8	13	10485	All
9	13	11419	All
10	13	11936	All
11	13	12026	All
12	13	12483	All
13	13	13410	All
14	13	14975	All
15	13	15394	All
16	13	15972	All
17	13	16474	All
1	14	1651	All
2	14	2354	All
3	14	4402	All
4	14	6472	All
5	14	7371	All
6	14	8536	All
7	14	10050	All
8	14	10662	All
9	14	11281	All
10	14	11959	All
11	14	13662	All
12	14	13741	All
13	14	14200	All
14	14	14890	All
15	14	15134	All
16	14	15757	All
17	14	16474	All
1	15	3645	All
2	15	3963	All
3	15	8124	All
4	15	8586	All
5	15	9334	All
6	15	9552	All
7	15	10461	All
8	15	11319	All
9	15	11793	All
10	15	11890	All
11	15	12579	All
12	15	13521	All
13	15	14232	All
14	15	14694	All
15	15	15088	All
16	15	15855	All
17	15	16474	All
1	16	4733	All
2	16	8504	All
3	16	8649	All
4	16	9060	All
5	16	9655	All
6	16	10421	All
7	16	11186	All
8	16	11925	All
9	16	12753	All
10	16	13437	All
11	16	13886	All
12	16	14715	All
13	16	15102	All
14	16	15517	All
15	16	15665	All
16	16	15739	All
17	16	16474	All
1	17	2451	All
2	17	3178	All
3	17	5836	All
4	17	7507	All
5	17	8243	All
6	17	9109	All
7	17	10439	All
8	17	11256	All
9	17	12119	All
10	17	12618	All
11	17	14234	All
12	17	14636	All
13	17	14712	All
14	17	15490	All
15	17	15563	All
16	17	15972	All
17	17	16474	All
1	18	3953	All
2	18	6134	All
3	18	7094	All
4	18	8410	All
5	18	9850	All
6	18	10724	All
7	18	11828	All
8	18	12110	All
9	18	12657	All
10	18	14254	All
11	18	14594	All
12	18	14759	All
13	18	14835	All
14	18	14909	All
15	18	15563	All
16	18	15972	All
17	18	16474	All
1	19	1286	All
2	19	2243	All
3	19	5324	All
4	19	6445	All
5	19	9403	All
6	19	10485	All
7	19	11630	All
8	19	12154	All
9	19	12723	All
10	19	13015	All
11	19	13618	All
12	19	14208	All
13	19	14872	All
14	19	15257	All
15	19	15330	All
16	19	15739	All
17	19	16474	All
1	20	4687	All
2	20	5972	All
3	20	6970	All
4	20	8764	All
5	20	9389	All
6	20	9514	All
7	20	10543	All
8	20	11296	All
9	20	11834	All
10	20	13551	All
11	20	13715	All
12	20	14575	All
13	20	14655	All
14	20	15296	All
15	20	15719	All
16	20	15951	All
17	20	16474	All
1	21	1286	All
2	21	7170	All
3	21	8672	All
4	21	10119	All
5	21	10723	All
6	21	11385	All
7	21	11871	All
8	21	12537	All
9	21	12820	All
10	21	12900	All
11	21	13378	All
12	21	14261	All
13	21	14603	All
14	21	15209	All
15	21	15360	All
16	21	15972	All
17	21	16474	All
1	22	5569	All
2	22	6258	All
3	22	7593	All
4	22	8209	All
5	22	8363	All
6	22	9433	All
7	22	10068	All
8	22	10169	All
9	22	11320	All
10	22	12108	All
11	22	12637	All
12	22	12805	All
13	22	14389	All
14	22	14793	All
15	22	15457	All
16	22	16073	All
17	22	16474	All
1	23	4395	All
2	23	6120	All
3	23	7616	All
4	23	10147	All
5	23	10741	All
6	23	11305	All
7	23	11399	All
8	23	12164	All
9	23	12581	All
10	23	12750	All
11	23	13537	All
12	23	13953	All
13	23	14812	All
14	23	14890	All
15	23	15645	All
16	23	15880	All
17	23	16474	All
1	24	1421	All
2	24	3946	All
3	24	6023	All
4	24	7552	All
5	24	7684	All
6	24	8985	All
7	24	9649	All
8	24	10912	All
9	24	11458	All
10	24	12495	All
11	24	12871	All
12	24	13367	All
13	24	13526	All
14	24	14197	All
15	24	14445	All
16	24	15910	All
17	24	16474	All
1	25	6993	All
2	25	7170	All
3	25	8975	All
4	25	9110	All
5	25	10023	All
6	25	10983	All
7	25	11432	All
8	25	11963	All
9	25	12155	All
10	25	12830	All
11	25	13580	All
12	25	14018	All
13	25	14823	All
14	25	15250	All
15	25	15491	All
16	25	15910	All
17	25	16474	All
1	26	6993	All
2	26	7578	All
3	26	9325	All
4	26	9988	All
5	26	10095	All
6	26	10830	All
7	26	11729	All
8	26	12465	All
9	26	12943	All
10	26	13553	All
11	26	13638	All
12	26	13796	All
13	26	14630	All
14	26	15016	All
15	26	15643	All
16	26	15951	All
17	26	16474	All
1	27	1286	All
2	27	4994	All
3	27	6876	All
4	27	8657	All
5	27	10932	All
6	27	11523	All
7	27	11839	All
8	27	12340	All
9	27	13002	All
10	27	13087	All
11	27	13469	All
12	27	13909	All
13	27	14077	All
14	27	14554	All
15	27	15231	All
16	27	15972	All
17	27	16474	All
1	28	3514	All
2	28	3872	All
3	28	8041	All
4	28	9318	All
5	28	10001	All
6	28	11177	All
7	28	11499	All
8	28	12209	All
9	28	12967	All
10	28	13472	All
11	28	14078	All
12	28	14243	All
13	28	14697	All
14	28	15091	All
15	28	15838	All
16	28	16403	All
17	28	16474	All
1	29	3569	All
2	29	5178	All
3	29	5537	All
4	29	7369	All
5	29	8550	All
6	29	8667	All
7	29	9359	All
8	29	11524	All
9	29	11614	All
10	29	12235	All
11	29	13040	All
12	29	13946	All
13	29	14374	All
14	29	14991	All
15	29	15523	All
16	29	15757	All
17	29	16474	All
1	30	2451	All
2	30	6258	All
3	30	6606	All
4	30	7543	All
5	30	8688	All
6	30	10970	All
7	30	11514	All
8	30	12374	All
9	30	12888	All
10	30	13575	All
11	30	14408	All
12	30	15074	All
13	30	15613	All
14	30	15930	All
15	30	16002	All
16	30	16073	All
17	30	16474	All
1	31	1651	All
2	31	4855	All
3	31	6641	All
4	31	7957	All
5	31	8080	All
6	31	9263	All
7	31	11438	All
8	31	12487	All
9	31	12864	All
10	31	13616	All
11	31	14444	All
12	31	14993	All
13	31	15239	All
14	31	15629	All
15	31	16005	All
16	31	16403	All
17	31	16474	All
1	32	4579	All
2	32	5376	All
3	32	7018	All
4	32	8460	All
5	32	8695	All
6	32	9405	All
7	32	10734	All
8	32	11561	All
9	32	12087	All
10	32	12179	All
11	32	12586	All
12	32	12665	All
13	32	14290	All
14	32	14744	All
15	32	15509	All
16	32	16113	All
17	32	16474	All
1	33	3645	All
2	33	5778	All
3	33	6758	All
4	33	8043	All
5	33	9141	All
6	33	10205	All
7	33	11425	All
8	33	13193	All
9	33	13270	All
10	33	13631	All
11	33	14063	All
12	33	14144	All
13	33	14706	All
14	33	14947	All
15	33	15104	All
16	33	15757	All
17	33	16474	All
1	34	4527	All
2	34	6053	All
3	34	7490	All
4	34	9084	All
5	34	10062	All
6	34	10178	All
7	34	10388	All
8	34	11499	All
9	34	11585	All
10	34	12139	All
11	34	13770	All
12	34	14031	All
13	34	14393	All
14	34	14840	All
15	34	15509	All
16	34	16113	All
17	34	16474	All
1	35	3569	All
2	35	5206	All
3	35	6864	All
4	35	8043	All
5	35	8162	All
6	35	8570	All
7	35	8790	All
8	35	9819	All
9	35	10819	All
10	35	11743	All
11	35	12176	All
12	35	12825	All
13	35	14475	All
14	35	14551	All
15	35	15345	All
16	35	16102	All
17	35	16474	All
1	36	1421	All
2	36	5844	All
3	36	7912	All
4	36	8659	All
5	36	9199	All
6	36	9896	All
7	36	10783	All
8	36	11094	All
9	36	11291	All
10	36	12096	All
11	36	12571	All
12	36	13081	All
13	36	13777	All
14	36	15264	All
15	36	15336	All
16	36	15972	All
17	36	16474	All
1	37	5003	All
2	37	7438	All
3	37	8401	All
4	37	8946	All
5	37	11176	All
6	37	11377	All
7	37	12057	All
8	37	12737	All
9	37	13412	All
10	37	13496	All
11	37	14201	All
12	37	14455	All
13	37	14872	All
14	37	15631	All
15	37	16005	All
16	37	16403	All
17	37	16474	All
1	38	1421	All
2	38	5963	All
3	38	7384	All
4	38	8080	All
5	38	9214	All
6	38	9324	All
7	38	9682	All
8	38	11747	All
9	38	12501	All
10	38	13281	All
11	38	13905	All
12	38	14365	All
13	38	14778	All
14	38	14931	All
15	38	15370	All
16	38	15739	All
17	38	16474	All
1	39	1421	All
2	39	5963	All
3	39	6817	All
4	39	7836	All
5	39	8092	All
6	39	9290	All
7	39	9957	All
8	39	10066	All
9	39	10967	All
10	39	11735	All
11	39	13447	All
12	39	13899	All
13	39	14582	All
14	39	14967	All
15	39	15742	All
16	39	15972	All
17	39	16474	All
1	40	3514	All
2	40	5856	All
3	40	7567	All
4	40	8018	All
5	40	9544	All
6	40	10114	All
7	40	10920	All
8	40	11738	All
9	40	12524	All
10	40	12998	All
11	40	13166	All
12	40	13252	All
13	40	13734	All
14	40	14192	All
15	40	15010	All
16	40	15083	All
17	40	16474	All
1	41	1421	All
2	41	3919	All
3	41	6314	All
4	41	7783	All
5	41	9004	All
6	41	9701	All
7	41	11782	All
8	41	12254	All
9	41	12341	All
10	41	12911	All
11	41	13197	All
12	41	13649	All
13	41	14503	All
14	41	15074	All
15	41	15823	All
16	41	16330	All
17	41	16474	All
1	42	5569	All
2	42	6527	All
3	42	6702	All
4	42	7643	All
5	42	8675	All
6	42	8917	All
7	42	9311	All
8	42	10287	All
9	42	10915	All
10	42	12879	All
11	42	13634	All
12	42	14097	All
13	42	14177	All
14	42	14767	All
15	42	15368	All
16	42	15757	All
17	42	16474	All
1	43	4733	All
2	43	6887	All
3	43	8669	All
4	43	9711	All
5	43	10338	All
6	43	10448	All
7	43	10643	All
8	43	10734	All
9	43	12621	All
10	43	13056	All
11	43	13329	All
12	43	14206	All
13	43	14778	All
14	43	15110	All
15	43	15662	All
16	43	16073	All
17	43	16474	All
1	44	5569	All
2	44	7086	All
3	44	8357	All
4	44	10773	All
5	44	10875	All
6	44	11683	All
7	44	11999	All
8	44	12567	All
9	44	13031	All
10	44	13119	All
11	44	13859	All
12	44	14452	All
13	44	14891	All
14	44	15649	All
15	44	15957	All
16	44	16330	All
17	44	16474	All
1	45	4579	All
2	45	4849	All
3	45	6667	All
4	45	9460	All
5	45	10772	All
6	45	10968	All
7	45	11850	All
8	45	12668	All
9	45	13348	All
10	45	13765	All
11	45	14615	All
12	45	15068	All
13	45	15145	All
14	45	15561	All
15	45	15947	All
16	45	16249	All
17	45	16474	All
1	46	5003	All
2	46	6136	All
3	46	6336	All
4	46	8249	All
5	46	9195	All
6	46	10168	All
7	46	12140	All
8	46	12810	All
9	46	13245	All
10	46	13968	All
11	46	14396	All
12	46	14650	All
13	46	15434	All
14	46	15853	All
15	46	16002	All
16	46	16073	All
17	46	16474	All
1	47	1286	All
2	47	7170	All
3	47	8067	All
4	47	9179	All
5	47	10096	All
6	47	10448	All
7	47	11283	All
8	47	11817	All
9	47	12663	All
10	47	13216	All
11	47	13601	All
12	47	14061	All
13	47	14217	All
14	47	14892	All
15	47	14967	All
16	47	15739	All
17	47	16474	All
1	48	1651	All
2	48	4088	All
3	48	6227	All
4	48	8170	All
5	48	8293	All
6	48	9122	All
7	48	11410	All
8	48	12424	All
9	48	13047	All
10	48	13137	All
11	48	13772	All
12	48	14189	All
13	48	14809	All
14	48	15209	All
15	48	15848	All
16	48	16077	All
17	48	16474	All
1	49	4579	All
2	49	8321	All
3	49	9104	All
4	49	9495	All
5	49	10359	All
6	49	11294	All
7	49	12084	All
8	49	12507	All
9	49	13014	All
10	49	13784	All
11	49	14634	All
12	49	14713	All
13	49	14789	All
14	49	15558	All
15	49	15967	All
16	49	16113	All
17	49	16474	All
1	50	1286	All
2	50	3963	All
3	50	6115	All
4	50	7568	All
5	50	7712	All
6	50	9041	All
7	50	9735	All
8	50	10073	All
9	50	10578	All
10	50	11098	All
11	50	11938	All
12	50	12938	All
13	50	13429	All
14	50	15010	All
15	50	15763	All
16	50	15910	All
17	50	16474	All
1	51	1421	All
2	51	4697	All
3	51	6566	All
4	51	6725	All
5	51	8526	All
6	51	9237	All
7	51	10202	All
8	51	10826	All
9	51	11622	All
10	51	11901	All
11	51	12384	All
12	51	12771	All
13	51	14391	All
14	51	15074	All
15	51	15605	All
16	51	16330	All
17	51	16474	All
1	52	4527	All
2	52	5270	All
3	52	7698	All
4	52	8976	All
5	52	10008	All
6	52	10597	All
7	52	11198	All
8	52	12000	All
9	52	12086	All
10	52	12644	All
11	52	13557	All
12	52	13905	All
13	52	14066	All
14	52	14149	All
15	52	14546	All
16	52	15972	All
17	52	16474	All
1	53	4579	All
2	53	5034	All
3	53	7399	All
4	53	10043	All
5	53	10634	All
6	53	11218	All
7	53	11959	All
8	53	12694	All
9	53	13596	All
10	53	13967	All
11	53	14237	All
12	53	14313	All
13	53	14976	All
14	53	15365	All
15	53	15437	All
16	53	16073	All
17	53	16474	All
1	54	3953	All
2	54	4235	All
3	54	6933	All
4	54	7410	All
5	54	8353	All
6	54	9478	All
7	54	9699	All
8	54	10901	All
9	54	12747	All
10	54	13201	All
11	54	13908	All
12	54	14367	All
13	54	15041	All
14	54	15587	All
15	54	16101	All
16	54	16173	All
17	54	16474	All
1	55	4527	All
2	55	4963	All
3	55	7022	All
4	55	8409	All
5	55	9295	All
6	55	11478	All
7	55	11566	All
8	55	11659	All
9	55	12078	All
10	55	12737	All
11	55	13230	All
12	55	13498	All
13	55	14355	All
14	55	15151	All
15	55	15733	All
16	55	16102	All
17	55	16474	All
1	56	6993	All
2	56	8031	All
3	56	9592	All
4	56	10421	All
5	56	10958	All
6	56	11431	All
7	56	12272	All
8	56	12936	All
9	56	13670	All
10	56	13753	All
11	56	13918	All
12	56	14365	All
13	56	14443	All
14	56	14694	All
15	56	15150	All
16	56	15739	All
17	56	16474	All
1	57	5722	All
2	57	7438	All
3	57	9008	All
4	57	9139	All
5	57	10113	All
6	57	10759	All
7	57	11092	All
8	57	11184	All
9	57	11944	All
10	57	12330	All
11	57	12802	All
12	57	13516	All
13	57	14104	All
14	57	14544	All
15	57	14932	All
16	57	15083	All
17	57	16474	All
1	58	4527	All
2	58	4790	All
3	58	6667	All
4	58	6833	All
5	58	7316	All
6	58	8167	All
7	58	8396	All
8	58	9075	All
9	58	10459	All
10	58	11579	All
11	58	12425	All
12	58	12939	All
13	58	13309	All
14	58	14855	All
15	58	15296	All
16	58	15880	All
17	58	16474	All
1	59	4579	All
2	59	5034	All
3	59	6807	All
4	59	7852	All
5	59	8625	All
6	59	10979	All
7	59	11090	All
8	59	11602	All
9	59	12457	All
10	59	13247	All
11	59	13866	All
12	59	14302	All
13	59	15135	All
14	59	15875	All
15	59	16177	All
16	59	16249	All
17	59	16474	All
1	60	3645	All
2	60	4613	All
3	60	6089	All
4	60	7495	All
5	60	9153	All
6	60	9377	All
7	60	9502	All
8	60	10491	All
9	60	11610	All
10	60	13351	All
11	60	14056	All
12	60	14132	All
13	60	14596	All
14	60	14921	All
15	60	15472	All
16	60	15855	All
17	60	16474	All
1	61	3514	All
2	61	5313	All
3	61	7559	All
4	61	8770	All
5	61	10988	All
6	61	11836	All
7	61	12786	All
8	61	13407	All
9	61	13500	All
10	61	13763	All
11	61	13845	All
12	61	14311	All
13	61	14766	All
14	61	15432	All
15	61	15803	All
16	61	15951	All
17	61	16474	All
1	62	3569	All
2	62	4524	All
3	62	8408	All
4	62	9606	All
5	62	10533	All
6	62	11240	All
7	62	11334	All
8	62	12054	All
9	62	12459	All
10	62	13245	All
11	62	14120	All
12	62	14916	All
13	62	15309	All
14	62	15854	All
15	62	16258	All
16	62	16403	All
17	62	16474	All
1	63	4687	All
2	63	6722	All
3	63	7632	All
4	63	8092	All
5	63	8866	All
6	63	9832	All
7	63	10569	All
8	63	10671	All
9	63	12586	All
10	63	13041	All
11	63	13212	All
12	63	14137	All
13	63	14938	All
14	63	15470	All
15	63	15783	All
16	63	15855	All
17	63	16474	All
1	64	3953	All
2	64	4748	All
3	64	5939	All
4	64	7441	All
5	64	7580	All
6	64	8347	All
7	64	9837	All
8	64	11857	All
9	64	12683	All
10	64	13425	All
11	64	13505	All
12	64	13680	All
13	64	14273	All
14	64	15068	All
15	64	15505	All
16	64	15910	All
17	64	16474	All
1	65	5003	All
2	65	6396	All
3	65	7828	All
4	65	8863	All
5	65	9496	All
6	65	9603	All
7	65	9811	All
8	65	11025	All
9	65	11855	All
10	65	12265	All
11	65	13198	All
12	65	13862	All
13	65	14118	All
14	65	14564	All
15	65	16005	All
16	65	16077	All
17	65	16474	All
1	66	3569	All
2	66	5708	All
3	66	7829	All
4	66	9304	All
5	66	10323	All
6	66	10669	All
7	66	11461	All
8	66	12012	All
9	66	12097	All
10	66	12572	All
11	66	13195	All
12	66	13865	All
13	66	14527	All
14	66	14608	All
15	66	14762	All
16	66	16173	All
17	66	16474	All
1	67	3645	All
2	67	6820	All
3	67	7904	All
4	67	9132	All
5	67	9253	All
6	67	10517	All
7	67	11070	All
8	67	11870	All
9	67	12334	All
10	67	12952	All
11	67	13651	All
12	67	13741	All
13	67	13902	All
14	67	14233	All
15	67	14483	All
16	67	15083	All
17	67	16474	All
1	68	3645	All
2	68	5972	All
3	68	6970	All
4	68	7117	All
5	68	8900	All
6	68	9130	All
7	68	10229	All
8	68	10835	All
9	68	11355	All
10	68	12102	All
11	68	12641	All
12	68	13547	All
13	68	14217	All
14	68	14466	All
15	68	14546	All
16	68	15972	All
17	68	16474	All
1	69	2451	All
2	69	3027	All
3	69	5421	All
4	69	5774	All
5	69	5939	All
6	69	8063	All
7	69	9108	All
8	69	10075	All
9	69	10669	All
10	69	12532	All
11	69	13175	All
12	69	13902	All
13	69	14316	All
14	69	15122	All
15	69	15442	All
16	69	15855	All
17	69	16474	All
1	70	3514	All
2	70	7894	All
3	70	8730	All
4	70	10121	All
5	70	10810	All
6	70	11657	All
7	70	12151	All
8	70	12871	All
9	70	13481	All
10	70	13946	All
11	70	14033	All
12	70	14288	All
13	70	14861	All
14	70	14938	All
15	70	15593	All
16	70	16330	All
17	70	16474	All
1	71	3645	All
2	71	6302	All
3	71	7746	All
4	71	10263	All
5	71	10986	All
6	71	11092	All
7	71	11659	All
8	71	12478	All
9	71	12759	All
10	71	13389	All
11	71	13556	All
12	71	13634	All
13	71	14229	All
14	71	14624	All
15	71	15416	All
16	71	16173	All
17	71	16474	All
1	72	1421	All
2	72	4995	All
3	72	6137	All
4	72	7741	All
5	72	8705	All
6	72	9398	All
7	72	10239	All
8	72	11400	All
9	72	11789	All
10	72	11979	All
11	72	12262	All
12	72	13064	All
13	72	13554	All
14	72	14406	All
15	72	15877	All
16	72	15951	All
17	72	16474	All
1	73	5569	All
2	73	7229	All
3	73	8146	All
4	73	10603	All
5	73	11544	All
6	73	11635	All
7	73	11729	All
8	73	12244	All
9	73	12427	All
10	73	12981	All
11	73	13856	All
12	73	14449	All
13	73	14693	All
14	73	15234	All
15	73	15810	All
16	73	16113	All
17	73	16474	All
1	74	1286	All
2	74	4673	All
3	74	5719	All
4	74	7289	All
5	74	8060	All
6	74	8475	All
7	74	8594	All
8	74	10934	All
9	74	12037	All
10	74	12990	All
11	74	13732	All
12	74	14193	All
13	74	14603	All
14	74	14757	All
15	74	15360	All
16	74	15880	All
17	74	16474	All
1	75	1286	All
2	75	3872	All
3	75	5388	All
4	75	6936	All
5	75	7811	All
6	75	8054	All
7	75	9185	All
8	75	10530	All
9	75	10879	All
10	75	11743	All
11	75	12754	All
12	75	13521	All
13	75	15071	All
14	75	15495	All
15	75	15877	All
16	75	16403	All
17	75	16474	All
1	76	5003	All
2	76	5414	All
3	76	6496	All
4	76	7915	All
5	76	9156	All
6	76	9823	All
7	76	10551	All
8	76	11298	All
9	76	12364	All
10	76	12844	All
11	76	13198	All
12	76	13279	All
13	76	13936	All
14	76	14188	All
15	76	15683	All
16	76	16403	All
17	76	16474	All
1	77	3953	All
2	77	6396	All
3	77	7670	All
4	77	10221	All
5	77	10573	All
6	77	11413	All
7	77	12023	All
8	77	12692	All
9	77	13134	All
10	77	13215	All
11	77	13684	All
12	77	14564	All
13	77	15335	All
14	77	15411	All
15	77	15559	All
16	77	16173	All
17	77	16474	All
1	78	1421	All
2	78	7203	All
3	78	8080	All
4	78	9115	All
5	78	10099	All
6	78	10863	All
7	78	11766	All
8	78	12277	All
9	78	13220	All
10	78	13301	All
11	78	13674	All
12	78	14259	All
13	78	14419	All
14	78	14663	All
15	78	15330	All
16	78	16077	All
17	78	16474	All
1	79	4733	All
2	79	7229	All
3	79	7882	All
4	79	9403	All
5	79	9791	All
6	79	10015	All
7	79	10663	All
8	79	11197	All
9	79	11896	All
10	79	11996	All
11	79	12465	All
12	79	14161	All
13	79	14856	All
14	79	15462	All
15	79	16002	All
16	79	16073	All
17	79	16474	All
1	80	3645	All
2	80	3963	All
3	80	5963	All
4	80	9130	All
5	80	10091	All
6	80	10212	All
7	80	10995	All
8	80	11889	All
9	80	12371	All
10	80	12852	All
11	80	13023	All
12	80	13401	All
13	80	13664	All
14	80	14524	All
15	80	15313	All
16	80	15951	All
17	80	16474	All
1	81	1421	All
2	81	5039	All
3	81	8649	All
4	81	8769	All
5	81	9949	All
6	81	11161	All
7	81	11881	All
8	81	12377	All
9	81	12656	All
10	81	13048	All
11	81	13223	All
12	81	13897	All
13	81	14726	All
14	81	15175	All
15	81	15563	All
16	81	15972	All
17	81	16474	All
1	82	6993	All
2	82	8903	All
3	82	9492	All
4	82	9726	All
5	82	10723	All
6	82	11798	All
7	82	12588	All
8	82	12879	All
9	82	13323	All
10	82	13827	All
11	82	14454	All
12	82	14861	All
13	82	14937	All
14	82	15363	All
15	82	15437	All
16	82	15951	All
17	82	16474	All
1	83	3953	All
2	83	4316	All
3	83	7008	All
4	83	8659	All
5	83	9055	All
6	83	9579	All
7	83	9686	All
8	83	10578	All
9	83	11519	All
10	83	11706	All
11	83	13488	All
12	83	13915	All
13	83	14491	All
14	83	14943	All
15	83	15365	All
16	83	15910	All
17	83	16474	All
1	84	5722	All
2	84	8903	All
3	84	9885	All
4	84	10709	All
5	84	11782	All
6	84	11888	All
7	84	12378	All
8	84	13031	All
9	84	13304	All
10	84	13793	All
11	84	14508	All
12	84	14957	All
13	84	15034	All
14	84	15661	All
15	84	15810	All
16	84	16173	All
17	84	16474	All
1	85	4733	All
2	85	7229	All
3	85	8538	All
4	85	9361	All
5	85	10401	All
6	85	11009	All
7	85	11785	All
8	85	11868	All
9	85	12047	All
10	85	12331	All
11	85	12813	All
12	85	14427	All
13	85	14826	All
14	85	15368	All
15	85	15443	All
16	85	16173	All
17	85	16474	All
1	86	3569	All
2	86	5206	All
3	86	7067	All
4	86	7225	All
5	86	8680	All
6	86	9511	All
7	86	9617	All
8	86	9978	All
9	86	10827	All
10	86	12753	All
11	86	13692	All
12	86	14277	All
13	86	14686	All
14	86	15288	All
15	86	15605	All
16	86	16330	All
17	86	16474	All
1	87	1421	All
2	87	7203	All
3	87	8146	All
4	87	9735	All
5	87	10575	All
6	87	10778	All
7	87	11449	All
8	87	11951	All
9	87	12036	All
10	87	12706	All
11	87	13085	All
12	87	13957	All
13	87	14220	All
14	87	14842	All
15	87	15496	All
16	87	15880	All
17	87	16474	All
1	88	4733	All
2	88	5173	All
3	88	6227	All
4	88	8170	All
5	88	8293	All
6	88	10757	All
7	88	11410	All
8	88	11918	All
9	88	12015	All
10	88	12548	All
11	88	13266	All
12	88	13704	All
13	88	13961	All
14	88	14665	All
15	88	15231	All
16	88	15972	All
17	88	16474	All
1	89	3569	All
2	89	6191	All
3	89	7670	All
4	89	7915	All
5	89	8758	All
6	89	9694	All
7	89	10393	All
8	89	10976	All
9	89	11757	All
10	89	12768	All
11	89	12854	All
12	89	14432	All
13	89	15246	All
14	89	15485	All
15	89	15559	All
16	89	15880	All
17	89	16474	All
1	90	6993	All
2	90	7894	All
3	90	9442	All
4	90	9838	All
5	90	10684	All
6	90	10783	All
7	90	11341	All
8	90	12168	All
9	90	12732	All
10	90	12815	All
11	90	13501	All
12	90	13675	All
13	90	14261	All
14	90	15054	All
15	90	15476	All
16	90	16102	All
17	90	16474	All
1	91	5722	All
2	91	6631	All
3	91	8000	All
4	91	8764	All
5	91	8989	All
6	91	10094	All
7	91	12076	All
8	91	12528	All
9	91	13475	All
10	91	13560	All
11	91	13641	All
12	91	14231	All
13	91	14655	All
14	91	15296	All
15	91	15840	All
16	91	16249	All
17	91	16474	All
1	92	5003	All
2	92	6887	All
3	92	7747	All
4	92	9311	All
5	92	10558	All
6	92	10659	All
