SampleID	w	BPscore	window_step_abs_delta
Benign-Prostate-3330581	7	0.12111043925563492	0.017537632751379623
SRR7702334	7	0.1075108575180223	0.006751289671199021
SRR7702335	7	0.105380511245202	0.008732853560368237
SRR8446383	7	0.09864789246026083	0.01442739196465466
SRR8446384	7	0.09441440409018516	0.013786362211768044
SRR8446385	7	0.10183024309062795	0.01719039467476187
SRR8446386	7	0.10711720913637432	0.008925606576663483
SRR8446387	7	0.09839194191078861	0.019433566861959045
4DNFI6HDY7WZ	7	0.11745275575567082	0.016053353570285034
4DNFITH978XV	7	0.11368774649852681	0.014155300489469669
4DNFIT64Q7A3	7	0.11980134284354799	0.017258005793964498
4DNFINSKEZND	7	0.11935175742099845	0.01769002491113282
4DNFIIV4M7TF	7	0.13947937824840442	0.02269000387007028
4DNFIXVAKX9Q	7	0.12726522729191383	0.01665498777498728
PCa13266	8	0.1280691311392026	0.024522738745170636
PCa13848	8	0.10923437711155351	0.01732258185748442
PCa14121	8	0.13302509998408063	0.023750329315010504
PCa19121	8	0.1271772520666312	0.013446303395714648
PCa3023	8	0.11685928144478093	0.015013066136044043
PCa33173	8	0.1227421743588131	0.01001723811158492
PCa40507	8	0.1402668862505392	0.008869658293813504
PCa51852	8	0.14363732071067956	0.020422277329850413
PCa53687	8	0.1282770899640539	0.01907210241199231
PCa56413	8	0.12773483580457826	0.006709017377866305
PCa57294	8	0.13426892998876994	0.007690444229217136
PCa58215	8	0.12092986433927914	0.010716375882077953
Benign-Prostate-1595983	8	0.11131345800217618	0.01684088923476393
Benign-Prostate-1648133	8	0.12694585529188507	0.009971998434063295
Benign-Prostate-1664855	8	0.11436460924150524	0.0029354879868907086
Benign-Prostate-3320942	8	0.11922967370413966	0.021439666815380135
Benign-Prostate-3330581	8	0.10925800757497345	0.011852431680661468
SRR7702334	8	0.09580392633071391	0.011706931187308381
SRR7702335	8	0.09686419576348322	0.008516315481718773
SRR8446383	8	0.087705677995383	0.010942214464877836
SRR8446384	8	0.08258460115714071	0.011829802933044448
SRR8446385	8	0.09421712257330576	0.007613120517322186
SRR8446386	8	0.09603318386045784	0.011084025275916481
SRR8446387	8	0.09533247765461046	0.003059464256178146
4DNFI6HDY7WZ	8	0.10777195510288756	0.009680800652783261
4DNFITH978XV	8	0.10471128447646011	0.0089764620220667
4DNFIT64Q7A3	8	0.11115561980460664	0.008645723038941344
4DNFINSKEZND	8	0.10809693223658853	0.011254825184409914
4DNFIIV4M7TF	8	0.12493860235679777	0.014540775891606655
4DNFIXVAKX9Q	8	0.11869709168675452	0.008568135605159316
PCa13266	9	0.12576758779771882	0.002301543341483775
PCa13848	9	0.10426443922553072	0.0049699378860227905
PCa14121	9	0.12467406214809619	0.00835103783598444
PCa19121	9	0.11591120380443781	0.011266048262193379
PCa3023	9	0.11245840798160969	0.004400873463171237
PCa33173	9	0.10434966600824186	0.01839250835057124
PCa40507	9	0.12340122460661451	0.016865661643924695
PCa51852	9	0.1372886816884526	0.0063486390222269595
PCa53687	9	0.12028870450459589	0.007988385459458014
PCa56413	9	0.1092009717350602	0.018533864069518055
PCa57294	9	0.11446393880325866	0.01980499118551128
PCa58215	9	0.10819602676623052	0.01273383757304862
Benign-Prostate-1595983	9	0.10737683548754946	0.003936622514626717
Benign-Prostate-1648133	9	0.11138480066737833	0.015561054624506743
Benign-Prostate-1664855	9	0.09939567924398014	0.014968929997525096
Benign-Prostate-3320942	9	0.10858296309447478	0.010646710609664878
Benign-Prostate-3330581	9	0.09435276366333442	0.014905243911639027
SRR7702334	9	0.08831718973290992	0.007486736597803995
SRR7702335	9	0.08362327023798397	0.013240925525499256
SRR8446383	9	0.0796600324707022	0.008045645524680789
