gene_id	gene_name	detected_prom_enh_loop	n_enhancers
ENSG00000041982.16	TNC	False	13
ENSG00000041982.16	TNC	True	6
ENSG00000041988.15	THAP3	False	22
ENSG00000041988.15	THAP3	True	5
ENSG00000042062.13	RIPOR3	False	52
ENSG00000042088.14	TDP1	False	37
ENSG00000042088.14	TDP1	True	1
ENSG00000042304.11	C2orf83	False	3
ENSG00000042304.11	C2orf83	True	11
ENSG00000042317.17	AL049834.1	False	8
ENSG00000042317.17	AL049834.1	True	2
ENSG00000042493.16	CAPG	False	1
ENSG00000042493.16	CAPG	True	14
ENSG00000042753.11	AP2S1	False	26
ENSG00000042753.11	AP2S1	True	27
ENSG00000042813.8	ZPBP	False	26
ENSG00000042832.12	TG	False	8
ENSG00000042832.12	TG	True	34
ENSG00000043039.7	BARX2	False	4
ENSG00000043039.7	BARX2	True	15
ENSG00000043143.20	JADE2	False	38
ENSG00000043355.12	ZIC2	False	15
ENSG00000043355.12	ZIC2	True	10
ENSG00000043462.12	LCP2	False	13
ENSG00000044012.4	GUCA2B	False	7
ENSG00000044012.4	GUCA2B	True	20
ENSG00000044090.9	CUL7	False	22
ENSG00000044115.21	CTNNA1	False	2
ENSG00000044115.21	CTNNA1	True	27
ENSG00000044446.12	PHKA2	False	16
ENSG00000044459.15	CNTLN	False	9
ENSG00000044459.15	CNTLN	True	1
ENSG00000044524.11	EPHA3	True	3
ENSG00000044574.8	HSPA5	False	37
ENSG00000044574.8	HSPA5	True	4
ENSG00000046604.13	DSG2	False	2
ENSG00000046604.13	DSG2	True	5
ENSG00000046647.13	GEMIN8	False	34
ENSG00000046647.13	GEMIN8	True	18
ENSG00000046651.15	OFD1	False	17
ENSG00000046651.15	OFD1	True	35
ENSG00000046653.15	GPM6B	False	52
ENSG00000046889.19	PREX2	False	12
ENSG00000047056.16	WDR37	False	31
ENSG00000047188.16	YTHDC2	False	1
ENSG00000047188.16	YTHDC2	True	3
ENSG00000047230.15	CTPS2	False	15
ENSG00000047249.18	ATP6V1H	False	16
ENSG00000047249.18	ATP6V1H	True	10
ENSG00000047346.12	FAM214A	False	14
ENSG00000047578.13	KIAA0556	False	42
ENSG00000047579.19	DTNBP1	False	92
ENSG00000047617.15	ANO2	False	20
ENSG00000047644.18	WWC3	False	12
ENSG00000047644.18	WWC3	True	6
ENSG00000047648.23	ARHGAP6	False	2
ENSG00000047662.5	FAM184B	False	7
ENSG00000047849.21	MAP4	False	15
ENSG00000047932.14	GOPC	False	3
ENSG00000047932.14	GOPC	True	1
ENSG00000047936.10	ROS1	False	4
ENSG00000048028.11	USP28	False	14
ENSG00000048028.11	USP28	True	46
ENSG00000048052.21	HDAC9	False	5
ENSG00000048140.18	TSPAN17	False	18
ENSG00000048140.18	TSPAN17	True	7
ENSG00000048342.16	CC2D2A	False	10
ENSG00000048342.16	CC2D2A	True	13
ENSG00000048392.12	RRM2B	False	17
ENSG00000048392.12	RRM2B	True	51
ENSG00000048405.10	ZNF800	False	6
ENSG00000048471.14	SNX29	False	122
ENSG00000048544.6	MRPS10	False	15
ENSG00000048544.6	MRPS10	True	10
ENSG00000048545.14	GUCA1A	False	15
ENSG00000048545.14	GUCA1A	True	10
ENSG00000048707.15	VPS13D	False	80
ENSG00000048707.15	VPS13D	True	14
ENSG00000048740.18	CELF2	False	1
ENSG00000048828.17	FAM120A	False	48
ENSG00000048828.17	FAM120A	True	5
ENSG00000048991.16	R3HDM1	False	2
ENSG00000049089.15	COL9A2	False	29
ENSG00000049089.15	COL9A2	True	16
ENSG00000049167.14	ERCC8	False	8
ENSG00000049167.14	ERCC8	True	10
ENSG00000049192.15	ADAMTS6	False	4
ENSG00000049192.15	ADAMTS6	True	6
ENSG00000049239.12	H6PD	False	9
ENSG00000049283.18	EPN3	False	33
ENSG00000049323.16	LTBP1	False	15
ENSG00000049540.17	ELN	False	24
ENSG00000049540.17	ELN	True	29
ENSG00000049618.23	ARID1B	False	9
ENSG00000049618.23	ARID1B	True	18
ENSG00000049759.18	NEDD4L	False	27
ENSG00000049759.18	NEDD4L	True	22
ENSG00000049860.14	HEXB	False	2
ENSG00000049860.14	HEXB	True	41
ENSG00000049883.15	PTCD2	False	38
ENSG00000049883.15	PTCD2	True	6
ENSG00000050130.18	JKAMP	False	28
ENSG00000050344.9	NFE2L3	False	73
ENSG00000050393.11	MCUR1	False	13
ENSG00000050393.11	MCUR1	True	8
ENSG00000050405.13	LIMA1	False	11
ENSG00000050426.16	LETMD1	False	27
ENSG00000050426.16	LETMD1	True	8
ENSG00000050438.17	SLC4A8	False	20
ENSG00000050555.18	LAMC3	False	22
ENSG00000050628.20	PTGER3	False	1
