SampleID	Seq_Depth	Replicate	N
Benign-Prostate-3320942	300000000	6	3580
Benign-Prostate-3320942	300000000	7	3652
Benign-Prostate-3320942	300000000	8	3668
Benign-Prostate-3320942	300000000	9	3664
Benign-Prostate-3320942	50000000	1	6
Benign-Prostate-3320942	50000000	10	1
Benign-Prostate-3320942	50000000	2	5
Benign-Prostate-3320942	50000000	3	2
Benign-Prostate-3320942	50000000	4	2
Benign-Prostate-3320942	50000000	5	2
Benign-Prostate-3320942	50000000	6	2
Benign-Prostate-3320942	50000000	7	2
Benign-Prostate-3320942	50000000	8	3
Benign-Prostate-3320942	50000000	9	1
Benign-Prostate-3330581	100000000	1	839
Benign-Prostate-3330581	100000000	10	763
Benign-Prostate-3330581	100000000	2	776
Benign-Prostate-3330581	100000000	3	831
Benign-Prostate-3330581	100000000	4	805
Benign-Prostate-3330581	100000000	5	759
Benign-Prostate-3330581	100000000	6	805
Benign-Prostate-3330581	100000000	7	826
Benign-Prostate-3330581	100000000	8	807
Benign-Prostate-3330581	100000000	9	785
Benign-Prostate-3330581	150000000	1	1867
