Sample1	Sample2	Window	N_Int	Total	Frac
PCa13848	PCa51852	28	1417	1736	0.816244239631337
PCa13848	PCa51852	29	1374	1687	0.814463544754001
PCa13848	PCa51852	30	1345	1642	0.819123020706456
PCa13848	PCa53687	3	4838	7722	0.626521626521627
PCa13848	PCa53687	4	4914	6918	0.710320901994796
PCa13848	PCa53687	5	4631	6167	0.750932382033404
PCa13848	PCa53687	6	4237	5507	0.769384419829308
PCa13848	PCa53687	7	3948	4998	0.789915966386555
PCa13848	PCa53687	8	3619	4554	0.794685990338164
PCa13848	PCa53687	9	3284	4167	0.788096952243821
PCa13848	PCa53687	10	3054	3838	0.795726941115164
PCa13848	PCa53687	11	2848	3533	0.806113784319275
PCa13848	PCa53687	12	2649	3319	0.798131967460078
PCa13848	PCa53687	13	2490	3126	0.796545105566219
PCa13848	PCa53687	14	2299	2953	0.778530308161192
PCa13848	PCa53687	15	2214	2784	0.795258620689655
PCa13848	PCa53687	16	2103	2625	0.801142857142857
PCa13848	PCa53687	17	1987	2510	0.791633466135458
PCa13848	PCa53687	18	1931	2402	0.80391340549542
PCa13848	PCa53687	19	1861	2322	0.801464254952627
PCa13848	PCa53687	20	1757	2220	0.791441441441442
PCa13848	PCa53687	21	1678	2128	0.788533834586466
PCa13848	PCa53687	22	1635	2050	0.797560975609756
PCa13848	PCa53687	23	1559	1982	0.786579212916246
PCa13848	PCa53687	24	1533	1933	0.793067770305225
PCa13848	PCa53687	25	1473	1877	0.784762919552477
PCa13848	PCa53687	26	1428	1817	0.785910842047331
PCa13848	PCa53687	27	1389	1787	0.777280358142138
PCa13848	PCa53687	28	1332	1736	0.767281105990783
PCa13848	PCa53687	29	1286	1687	0.762299940723177
PCa13848	PCa53687	30	1269	1642	0.772838002436054
PCa13848	PCa56413	3	5306	7722	0.687127687127687
PCa13848	PCa56413	4	5255	6918	0.759612604799075
PCa13848	PCa56413	5	4894	6167	0.793578725474299
PCa13848	PCa56413	6	4495	5507	0.816233884147449
PCa13848	PCa56413	7	4136	4998	0.827531012404962
PCa13848	PCa56413	8	3802	4554	0.834870443566096
PCa13848	PCa56413	9	3474	4167	0.833693304535637
PCa13848	PCa56413	10	3190	3838	0.831162063574779
PCa13848	PCa56413	11	2970	3533	0.840645343900368
PCa13848	PCa56413	12	2726	3319	0.821331726423622
