Sample_ID	size	N
Benign-Prostate-1664855	5920000	2
Benign-Prostate-1664855	840000	23
Benign-Prostate-1664855	1680000	6
Benign-Prostate-1664855	2200000	8
Benign-Prostate-1664855	16080000	1
Benign-Prostate-1664855	6040000	3
Benign-Prostate-1664855	520000	33
Benign-Prostate-1664855	9800000	2
Benign-Prostate-1664855	800000	20
Benign-Prostate-1664855	5040000	2
Benign-Prostate-1664855	1360000	7
Benign-Prostate-1664855	8120000	1
Benign-Prostate-1664855	680000	31
Benign-Prostate-1664855	1520000	10
Benign-Prostate-1664855	3200000	11
Benign-Prostate-1664855	720000	26
Benign-Prostate-1664855	440000	42
Benign-Prostate-1664855	4080000	2
Benign-Prostate-1664855	2360000	4
Benign-Prostate-1664855	960000	19
Benign-Prostate-1664855	2320000	7
Benign-Prostate-1664855	6160000	3
Benign-Prostate-1664855	1120000	12
Benign-Prostate-1664855	5760000	2
Benign-Prostate-1664855	5160000	2
Benign-Prostate-1664855	1920000	7
Benign-Prostate-1664855	2160000	8
Benign-Prostate-1664855	8480000	2
Benign-Prostate-1664855	2640000	6
Benign-Prostate-1664855	9200000	1
Benign-Prostate-1664855	3120000	3
Benign-Prostate-1664855	6440000	3
Benign-Prostate-1664855	7200000	2
Benign-Prostate-1664855	4400000	3
Benign-Prostate-1664855	4120000	4
Benign-Prostate-1664855	2120000	3
Benign-Prostate-1664855	5280000	3
Benign-Prostate-1664855	1040000	18
Benign-Prostate-1664855	1880000	5
Benign-Prostate-1664855	2440000	5
Benign-Prostate-1664855	5640000	1
Benign-Prostate-1664855	6880000	1
Benign-Prostate-1664855	5840000	3
Benign-Prostate-1664855	3320000	4
Benign-Prostate-1664855	3640000	2
Benign-Prostate-1664855	2040000	5
Benign-Prostate-1664855	6320000	2
Benign-Prostate-1664855	5120000	1
Benign-Prostate-1664855	3960000	2
Benign-Prostate-1664855	4680000	5
Benign-Prostate-1664855	4480000	1
Benign-Prostate-1664855	22360000	1
Benign-Prostate-1664855	2800000	2
Benign-Prostate-1664855	12880000	1
Benign-Prostate-1664855	22280000	1
Benign-Prostate-1664855	79520000	1
Benign-Prostate-1664855	1240000	11
Benign-Prostate-1664855	1080000	19
Benign-Prostate-1664855	1400000	10
Benign-Prostate-1664855	1800000	7
Benign-Prostate-1664855	3080000	3
Benign-Prostate-1664855	1440000	11
Benign-Prostate-1664855	2520000	3
Benign-Prostate-1664855	4160000	3
Benign-Prostate-1664855	2400000	5
Benign-Prostate-1664855	10320000	1
Benign-Prostate-1664855	2680000	4
Benign-Prostate-1664855	1840000	5
Benign-Prostate-1664855	5080000	4
Benign-Prostate-1664855	1280000	11
Benign-Prostate-1664855	5720000	1
Benign-Prostate-1664855	2880000	3
Benign-Prostate-1664855	1720000	8
Benign-Prostate-1664855	3760000	3
Benign-Prostate-1664855	2840000	2
Benign-Prostate-1664855	5880000	3
Benign-Prostate-1664855	3160000	2
Benign-Prostate-1664855	14200000	1
Benign-Prostate-1664855	7040000	1
Benign-Prostate-1664855	9360000	1
Benign-Prostate-1664855	1320000	10
Benign-Prostate-1664855	4960000	3
Benign-Prostate-1664855	3800000	1
Benign-Prostate-1664855	4560000	2
Benign-Prostate-1664855	3400000	4
Benign-Prostate-1664855	2920000	5
