sample	target_id	transcript_name	est_counts
PCa53687	ENST00000479537.6	BRAF-203	-0.690637341212766
PCa53687	ENST00000496384.7	BRAF-204	1.42219177915427
PCa53687	ENST00000497784.2	BRAF-205	-1
PCa53687	ENST00000642228.1	BRAF-206	-0.988969907606097
PCa53687	ENST00000642272.1	BRAF-207	-0.766141755192801
PCa53687	ENST00000642808.1	BRAF-208	-0.977520524747139
PCa53687	ENST00000642875.1	BRAF-209	-0.856199481590557
PCa53687	ENST00000643356.1	BRAF-210	-0.800448086461708
PCa53687	ENST00000643790.1	BRAF-211	-0.790021304933759
PCa53687	ENST00000644120.1	BRAF-212	-0.192813153891112
PCa53687	ENST00000644650.1	BRAF-213	-0.572246234686569
PCa53687	ENST00000644905.1	BRAF-214	-0.457078156037647
PCa53687	ENST00000644969.1	BRAF-215	-0.872916393813442
PCa53687	ENST00000645443.1	BRAF-216	-0.6758836312229
PCa53687	ENST00000646334.1	BRAF-217	-0.537511746185508
PCa53687	ENST00000646427.1	BRAF-218	-0.792411696244194
PCa53687	ENST00000646730.1	BRAF-219	-0.599694683594273
PCa53687	ENST00000646891.1	BRAF-220	0.18509725393753
PCa53687	ENST00000647434.1	BRAF-221	-0.0357081721437476
PCa56413	ENST00000288602.11	BRAF-201	-0.920352188623388
PCa56413	ENST00000469930.2	BRAF-202	-0.601898969793127
PCa56413	ENST00000479537.6	BRAF-203	-1
PCa56413	ENST00000496384.7	BRAF-204	0.148823065233294
PCa56413	ENST00000497784.2	BRAF-205	-1
PCa56413	ENST00000642228.1	BRAF-206	-0.974805606482898
PCa56413	ENST00000642272.1	BRAF-207	-0.766490672471067
PCa56413	ENST00000642808.1	BRAF-208	-0.977598286630625
PCa56413	ENST00000642875.1	BRAF-209	-0.933961134796152
PCa56413	ENST00000643356.1	BRAF-210	-0.750265273644359
PCa56413	ENST00000643790.1	BRAF-211	-0.702888448496642
PCa56413	ENST00000644120.1	BRAF-212	-0.692816005869785
PCa56413	ENST00000644650.1	BRAF-213	-0.882891207789716
PCa56413	ENST00000644905.1	BRAF-214	-0.808506118263803
PCa56413	ENST00000644969.1	BRAF-215	-0.999999999804688
PCa56413	ENST00000645443.1	BRAF-216	-0.949805499568099
PCa56413	ENST00000646334.1	BRAF-217	-0.853457460558128
PCa56413	ENST00000646427.1	BRAF-218	-0.803655183796869
PCa56413	ENST00000646730.1	BRAF-219	-0.835061534063769
PCa56413	ENST00000646891.1	BRAF-220	-0.354876246112925
PCa56413	ENST00000647434.1	BRAF-221	-0.771691452542122
PCa57294	ENST00000288602.11	BRAF-201	-0.842742635449816
PCa57294	ENST00000469930.2	BRAF-202	-0.415334506293701
PCa57294	ENST00000479537.6	BRAF-203	-1
PCa57294	ENST00000496384.7	BRAF-204	0.136359618584851
PCa57294	ENST00000497784.2	BRAF-205	-1
PCa57294	ENST00000642228.1	BRAF-206	-1
PCa57294	ENST00000642272.1	BRAF-207	-0.323706208616763
PCa57294	ENST00000642808.1	BRAF-208	-0.924762544351752
PCa57294	ENST00000642875.1	BRAF-209	-0.783354000633459
PCa57294	ENST00000643356.1	BRAF-210	-0.411321781968792
PCa57294	ENST00000643790.1	BRAF-211	-0.293733727775648
PCa57294	ENST00000644120.1	BRAF-212	-0.0459002625484102
PCa57294	ENST00000644650.1	BRAF-213	-0.795482284984728
PCa57294	ENST00000644905.1	BRAF-214	-0.854503418334307
PCa57294	ENST00000644969.1	BRAF-215	-0.999999975989038
PCa57294	ENST00000645443.1	BRAF-216	-0.777874218068088
PCa57294	ENST00000646334.1	BRAF-217	-0.495719775322961
